"b""The third witness, IBM's Jerry Cuomo, references existing and past projects, calling out a recent joint venture wit """,
"b'Romine: ""When the news media reports that bitcoin was stolen, it almost certainly means that the private keys were '",
"b'Charles H. Romine, director, Information Technology Laboratory, National Institute of Standards and Technology is e '",
"b'The first witness, Chris A. Jaikaran, analyst in cybersecurity policy, Government and Finance Division, Congression '",
"b'Rep. Barbara Comstock: ""[Blockchain] aplications have potential benefits for the federal government."" #DLTinDC'",
"b'Beyer: ""I\'m specifically interested in what you have to say in the steps [witnesses] say we should be taking in mak '",
"b'Rep. Don Beyer is now making his opening statement: ""I\'ve just come back from the World Economic Forum where it see '",
"b'Abraham: ""This hearing is not intended to discuss [cryptocurrencies] such as bitcoin, and the numerous regulatory [ '",
"b'Rep. Ralph Abraham is opening the @HouseScience hearing: ""The purpose of this hearing is to recognize the potential '",
"b""The House Committee on Science, Space, and Technology's hearing on blockchain begins at 10am EST. #DLTinDC """,
"b""The CFTC's Technology Advisory Committee will meet at 10am EST. Follow our hashtag #DLTinDC for live tweets and wa """,
"b'RT @CoinDeskMarkets: At make or break level? #Bitcoin #BTCUSD is flirting with key descending trendline resistance (Daily chart, data via B'",
b'Fork Confusion Propels Litecoin to 1-Month High Above $200  ',
b'BREAKING: Crypto Is Now Fastest Growing Donation for Fidelity Charity Arm  ',
"b'RT @NoelleInMadrid: ""You cannot assume that just because a technology dis-intermediates and is trans-national that it cannot potentially be'",
"b""South Africa's Central Bank Eyes JPMorgan Blockchain Tech  """,
"b""RT @CoinDeskMarkets: #Bitcoin clocks 10-day high of $9,208, as per CoinDesk's Bitcoin Price Index  """,
b'Bitcoin Sees Bull Reversal Ahead of Chinese New Year  ',
"b'RT @CoinDeskMarkets: #Litecoin hits highest since July 2015 against #bitcoin (weekly chart, data via Bitfinex) '",
b'Coincheck Exchange Sees $373 Million Withdrawn in One Day  ',
b'Japanese Watchdog Warns Foreign Crypto Firm Over Unlicensed Operation  ',
b'Korean Government Firm on Crypto KYC Mandate in Petition Response  ',
b'Coinbase Cuts Off New Credit Cards for US Customers  ',
"b""'Weary Giants of Flesh and Steel,' Meet Bitcoin  """,
b'How to Send A Lightning Transaction (Even If You May Not Want To)  ',
b'RT @CoinDeskMarkets: $9k incoming? #BTC is up $200 in the last hour after a day of sideways trading (Chart via @CoinDesk BPI) ',
"b""RT @JordanNof: Prices Aside, #Crypto's Tech Stack Is Steadily Improving - RT: @coindesk  """,
b'RT @SylvieCMiller: 7 Trends Shaping the Evolving ICO Economy - @CoinDesk  #ICO #ICOs #TokenSale #TokenSales https://',
b'Canadian Securities Exchange Taps Blockchain for New Clearinghouse  ',
b'Bloomberg Bitcoin Industry Grapples With Age-Old Problem of Inheritance  by @NateLanxon',
b'What to Expect When Congress Talks Blockchain Tomorrow  ',
b'RT @CoinDeskMarkets: New @cburniske thoughts ',
b'RT @AaronWStanley: Arizona Law Would Define When ICOs Are Securities  via @CoinDesk',
b'Arizona Law Would Define When ICOs Are Securities  ',
b'Salon Offers Readers Choice Between Ads and Mining Monero  ',
"b""Telegram Founder: Crypto Mining Malware Attack Isn't Due to App Flaw  """,
b'BitConnect Again? DavorCoin Price Dives After Lending Site Shutdown  ',
b'RT @dcsilver: @coindesk When the ICOs return all of the investor funds - we can discuss remediation. Regulators need to do their jobs - htt',
"b""Regulate Bitcoin? 'Not The ECB's Responsibility,' Says Mario Draghi  """,
b'VC @albertwenger from @usv talking about the innovations in blockchain and physical capital. #consensus2017 ',
b'A Porsche Speedster Is Turning Into Tokens on a Blockchain  ',
"b'Introducing @CoinDeskMarkets, our special feed for #bitcoin and #crypto charts, trading talk and daily technical a '",
b'South Korea Mulls BitLicense-Style Rules for Crypto Exchanges  ',
"b""'V' Recovery Complete? ETC Posts Price Gains In Sideways Market  """,
"b'RT @DelRayMan: Five of Comcast\'s most senior venture capitalists have embarked on an ""aggressive"" blockchain strategy for their $184 billio'",
"b""Real Estate ICOs Are Moving In, But Investors Aren't Floored  """,
"b'Less than 1 hour until our Cryptocurrency Capital Markets webinar, sponsored by @B2C2Group. Register for free and t '",
"b'RT @CoinDeskMarkets: Is #ether #ETHUSD eyeing an upside break? (15-min chart, Data via Coinbase) '",
b'$600 Fraud? Fake ICO White Papers Draw Scrutiny in China  ',
"b'RT @CoinDeskMarkets: #Bitcoin breaks below ascending trendline, but downside is being capped at $8,400, rebound likely? '",
b'RT @CoinDeskMarkets: #EthereumClassic has retraced more than 50 percent of the decline from Jan. 14 high to Feb. 6 low',
"b'RT @CoinDeskMarkets: #ripple below $ on Bifinex, indicates weak follow-through to bullish breakout seen on Sat.'",
"b'RT @CoinDeskMarkets: Crypto Market Update (Performance in last 24 hours) - data via CMC #Bitcoin , #ether , #ripple , #Bi'",
b'Microsoft Eyes Role for Public Blockchains in Decentralized Identities  ',
b'Bitcoin Price on Neutral Ground: Bulls Need Break Above $9K  ',
"b""'Fans' Build Controversial ICO Around Chinese Pop Band  """,
"b""Comcast VC Arm Embarks on 'Aggressive' Blockchain Investing Plan  """,
b'Petition Calls for SEC to Allow for ICO Remediation  ',
"b'CFTC Tech Advisors to Talk Crypto, Blockchain This Week  '",
b'Russian Ministry Proposes Capital Mandates for ICO Organizers  ',
"b""Better Late than Never: Why It's Time Regulators Put Crypto on Notice  """,
"b""RT @twobitidiot: Stoked for @coindesk's #consensus2018. Huge coup to get @jack lined up as a keynote. This year is gonna get crazier still.""",
"b""RT @sytaylor: IMF Chief Lagarde: Global #Cryptocurrency Regulation Is 'Inevitable'  via @CoinDesk""",
b'RT @SpirosMargaris: Into the Dark Pool: $30 Million #ICO Could Pave Way for Huge #Crypto Trades  #fintech @Brady',
"b'RT @readDanwrite: ""Bitcoin is the alpha and the omega."" my full conversation with @coindesk research director @writenolan at our @YahooFina'",
"b'RT @DelRayMan: T-Mobile has 69 million subscribers, and has been quietly exploring blockchain for months. Now the cat is out of the bag and'",
b'JPMorgan Report: Crypto Could One Day Help Diversify Portfolios  ',
"b""Don't miss the upcoming Cryptocurrency Capital Markets webinar, sponsored by @B2C2Group, taking place on February 1 """,
b'BitConnect Lawsuits Are Piling Up In Florida  ',
b'GMO Internet Eyes August Launch for Crypto Cloud Mining Service  ',
"b'@albertwenger, Managing Partner at @USV talks about the huge innovation of blockchain and physical capital. '",
b'UAE Remittance Firm Partners With DLT Startup Ripple  ',
"b""3 EU Watchdogs Warn Over 'High Risks' of Crypto Investment  """,
b'RT @stelyb: Into the Dark Pool: $30 Million ICO Could Pave Way for Huge Crypto Trades  via @CoinDesk',
b'Icelandic Lawmaker Floats Bitcoin Mining Tax  ',
"b'We are hosting a free webinar tomorrow morning at 8:30AM EST with @B2C2Group, discussing cryptocurrency capital mar '",
"b'#Ethereum saw strong dip demand around key support last week (Weekly chart, data via Coinbase) '",
b'Cryptos Go Green as Market Cap Holds Above $400 Billion  ',
"b""China's State Media Takes Aim Again at Crypto Trading, ICOs  """,
b'#Ripple (XRP) sees high volume bullish breakout  ',
b'BREAKING Into the Dark Pool: $30 Million ICO Could Pave Way for Huge Crypto Trades  ',
"b'#Bitcoin eyes key hurdle at $9,017 (Data via Coinbase)  '",
"b""IMF Chief Lagarde: Global Cryptocurrency Regulation Is 'Inevitable'  """,
b'UK Government Websites Hit By Cryptocurrency Mining Malware  ',
b'Abu Dhabi Markets Watchdog Mulls Cryptocurrency Exchange Regulations  ',
b'Bullish Signals Above $8K: Has Bitcoin Turned the Corner? ',
"b""T-Mobile's Stealth Blockchain Work Is Quietly Coming Together  """,
b'CME to Patent System for Seamless Blockchain Rule Changes  ',
b'China Fintech Watchdog to Step Up ICO Oversight  ',
"b'Funny Name or Not, Schnorr Is Becoming a Big Deal for Bitcoin  '",
b'Bloomberg The Economy Is Full of Crypto (And Collective Delusion)  by @matt_levine',
"b""Gibraltar's Government Is Moving to Regulate ICOs  """,
b'RT @cburniske: Rarely do I find people that have gone deep down the #crypto rabbit hole and come out doubting the technology s potential to',
"b""Crypto Jobs? Where We're Going We Won't Need Jobs  """,
"b""Prices Aside, Crypto's Tech Stack Is Steadily Improving  """,
b'RT @naval: People once thought that AOL would beat the open web. Permissionless programmability and uncensorability seemed unimportant. Do',
"b'RT @lopp: The real flippening is well underway. ""Up to 2008, sovereignty created currency. We now live in a world where currency creates s'",
b'7 Trends Shaping the Evolving ICO Economy  ',
b'DJ Gareth Emery Wants to Be Crypto Rich (For a Cause)  ',
b'Bitcoin Sets Six-Day High Above $9K (Then Dips Again)  ',
"b""Quartz An Insider's Account of Korea s Clandestine Bitcoin Trade  by @joonian and @haileyhkj""",
b'SEC Denies FOIA Request on Controversial Tezos ICO  ',
"b""Bloomberg Bitcoin on Credit? For 20 Percent of Owners, That's a Yes  by @olgakharif""",
"b""RT @ARKInvest: $1,700? Even #Bitcoin's Bear Case Is Bullish - read @coindesk's latest piece from ARK CEO/ CIO @CathieDWood: """,
b'RT @BradyDale: The hot tech at @SpankChain has been met with a cold reception by the rebels and anarchists of #crypto ',
"b""Nvidia CEO Says Cryptocurrency Is 'Not Going to Go Away'  """,
b'Russian Scientists Arrested for Crypto Mining at Nuclear Lab  ',
"b""RT @CryptoPoland: But seriously, putting the #crypto 'spanking' aside, read this. The perfect example of the world we're moving into - with""",
"b'TechCrunch When It Comes to the Crypto-Wealthy, Wealth Managers May Be Out of Luck  by @cookie'",
b'Ethereum Devs Call for Public Debate on Fund Recovery  ',
b'New Jersey Issues Cease-and-Desist to Crypto Investment Firm  ',
b'Arizona Moves One Step Closer to Accepting Bitcoin for Taxes  ',
b'Arizona Bill Would Enshrine the Right to Run a Crypto Node  ',
b'RT @joonian: I remember the first US Marshals bitcoin auction so   ',
b'RT @SpirosMargaris: Why #Crypto Needs to Start Talking Seriously About @SpankChain  #fintech @BradyDale @coindes',
b'RT @ryanwallerstein: Bush security advisor and current Financial Integrity Network Chairman @jczarate1 warns against #Blockchain Cold War v',
"b'French, German Finance Ministers Call for G20 Crypto Discussion  '",
"b'#Bitcoin gaining altitude on bull breakout, clocks fresh session high of $8,  (Data vi '",
b'RT @DelRayMan: Why Crypto Needs to Start Talking Seriously About SpankChain  via @CoinDesk by @BradyDale',
"b""LSK? Lesser-Known Crypto Was Trading Week's Biggest Winner  """,
b'Not a surprise. The Wizarding World never left the gold standard:  ',
b'Why Crypto Needs to Start Talking Seriously About SpankChain  ',
"b""India's Tax Department Is Sending Notices to Crypto Investors  """,
b'RT @obussmann: Bush Security Advisor Warns Against Blockchain Cold War  ',
b'Korean Exchange Bithumb Is Accepting New Users Again  ',
b'Coincheck Exchange Confirms Yen Withdrawals to Start Next Week  ',
b'Binance Resumes Services as System Upgrade Completes  ',
b'Bitcoin Price Looks North as Stock Market Falls Again  ',
"b""$1,700? Why Even Bitcoin's Bear Case Is Still Bullish  """,
b'The Outline Shower Yourself With Bitcoin Literally  by @parismartineau',
"b""Where's Greg? Maxwell Eyes New Bitcoin Projects After Blockstream  """,
b'Hong Kong Orders Exchanges to Delist Tokens Deemed Securities  ',
b'Nvidia CFO: Crypto Mining Demand Beat Expectations in Q4  ',
"b""City of Taipei Confirms It's Testing IOTA Blockchain for ID  """,
b'RT @adesaegher: IBM-Maersk Blockchain Project Adds Logistics Provider Agility  via @CoinDesk One more step in a jou',
b'US Marshals Successfully Auction Off $30 Million in Bitcoin  ',
b'Crypto Exchange Coinsquare Secures $30 Million in New Funding  ',
b'The Outline Shower Yourself With Bitcoin Literally  by @parismartineau',
"b""Novogratz's 'Crypto-Bank' Is Backing Everipedia's Blockchain Pivot  """,
b'Binance Denies Hack As Crypto Exchange Halts Trading  ',
b'RT @SpirosMargaris: Bush #Security Advisor Warns Against #Blockchain #ColdWar  #fintech @DelRayMan @coindesk #Cy',
b'RT @el33th4xor: You can tell a lot about a person by their crypto holdings. ',
b'RT @joonian:  huge get @coindesk ',
"b"" Congress to Hold Blockchain Hearing on Valentine's Day  """,
"b'RT @giancarloCFTC: Coin fans - Thx 4 ur enormous response 2 my recent US Senate remarks. Lol. As you invest remember: caution, balance &amp; D'",
b'Connecticut Lawmaker Pitches Crypto Transaction Fee in New Bill  ',
"b'We are excited to welcome @Jack, Co-Founder, CEO &amp; Chairman of @Square, who will be talking about the benefits of a '",
"b""Bitfinex's Biggest Critic Is Back on Twitter  """,
b'US Lawmaker Wants Members of Congress to Disclose Crypto Assets  ',
"b""#Bitcoin hits four-day high of $8,  (data via CoinDesk's Bitcoin Price Index) """,
b'How to Help ICOs Go Legit  ',
"b""ECB's Mersch Airs Concerns Over Crypto 'Gold Rush'  """,
"b""RT @DelRayMan: As North Korea gets more serious about bitcoin  President George W. Bush's deputy assistant warns against a blockchain c""",
b'#Bitcoin is heading towards descending trendline (2)  ',
b'Bitcoin Cash Outpaces Crypto Market Consolidation with 20% Spike  ',
"b""Cryptocurrency Tops EU Watchdog's 2018 Agenda  """,
b'Japanese Financial Regulator to Increase Crypto Exchange Inspections  ',
"b'Bitcoin cash is leading the top 10 cryptos with a 12% gain for the last 24 hours. Current price $1,098 '",
b'Bull Case Strengthens? Bitcoin Stays Bid Above $8K  ',
b'Bush Security Advisor Warns Against Blockchain Cold War  ',
"b""Kodak's Blockchain Pivot Is A Sham, Investment Manager Says  """,
b'Reuters Compliance Officers Sweat as Cryptocurrency Trades Go Mainstream  by @annairrera',
"b""Crypto's Price Correction Isn't Killing the Industry High  """,
b'Austrian Energy Group Eyes Blockchain With Vienna Test  ',
"b'RT @jedwhitley: Well, y all, there it is. Good game everyone. #hodl #bitcoinnews $btc '",
"b'RT @EFF: The Internet lost a hero today. EFF is mourning the loss of our visionary co-founder, John Perry Barlow. '",
b'Provocative ',
"b'Crypto Should Try Self-Regulation, CFTC Commissioner Says  '",
"b""RT @magdaborowik: SEC Chief Clayton: 'Every ICO I've seen is a security'  via @CoinDesk""",
b'New York Mandates Stronger Fraud Controls for Crypto Companies  ',
"b'At #YahooAMS @alexsunnarborg mentions velocity, or turnover, as an important token characteristic to consider. Read '",
"b'Tetras Capital\'s Alex Sunnarborg: ""There\'s a whole lot of catalysts [when investing in crypto]: You want to know wh '",
